,Company,Experience,Link,Location,Skills,Title
28,Optum Global Solutions (India) Private Limited,1-6 yrs,https://www.naukri.com/job-listings-MIS-Executive-Optum-Global-Solutions-India-Private-Limited-Mumbai-Sakinaka-1-to-6-years-250619003446?src=jobsearchDesk&sid=15614536082908&xp=29&px=1,Mumbai(Sakinaka),"Excel, Countif, SUMIF, MIS, Data Entry, Office Coordination...",MIS Executive
29,Trianz Holdings Pvt. Ltd.,5-9 yrs,https://www.naukri.com/job-listings-Business-Analyst-Trianz-Holdings-Pvt-Ltd-Bengaluru-5-to-9-years-240619902661?src=jobsearchDesk&sid=15614536082908&xp=30&px=1,Bengaluru,"requirement gathering, sql, gap analysis, business analysis, uat, visio...",Business Analyst
30,Lowes Companies Inc,4-8 yrs,https://www.naukri.com/job-listings-Senior-Analyst-Customer-Insights-Analytics-Lowes-Companies-Inc-Bengaluru-4-to-8-years-240619903170?src=jobsearchDesk&sid=15614536082908&xp=31&px=1,Bengaluru,"Analytics, Consumer Insights, Consulting - Retail, Market Research...",Senior Analyst - Customer Insights & Analytics
31,Info Edge India Ltd.,1-4 yrs,https://www.naukri.com/job-listings-Business-Analyst-Primary-Research-Info-Edge-India-Ltd-Noida-Sector-132-Noida-1-to-4-years-240619003176?src=jobsearchDesk&sid=15614536082908&xp=32&px=1,Noida(Sector-132 Noida),"secondary research, primary research, business analysis, business analytics...",Business Analyst - Primary Research
32,Huquo Consulting Pvt. Ltd,1-2 yrs,https://www.naukri.com/job-listings-Analyst-Sas-predictive-Modelling-Banking-credit-Card-Domain-Iit-isi-Huquo-Consulting-Pvt-Ltd-Gurgaon-1-to-2-years-240619901268?src=jobsearchDesk&sid=15614536082908&xp=33&px=1,Gurgaon,"Analytics, Data Analytics, SAS, Predictive Modeling, SQL, Big Data...",Analyst- Sas/predictive Modelling- Banking/credit Card Domain- Iit/isi
33,Perfect HR Solutions,0-3 yrs,https://www.naukri.com/job-listings-Req-Back-Office-Executive-data-Entry-Operators-computer-Operators-Perfect-HR-Solutions-Delhi-NCR-Delhi-Noida-0-to-3-years-250619002065?src=jobsearchDesk&sid=15614536082908&xp=34&px=1,"Delhi NCR, Delhi, Noida","back office, non voice, data entry, chat, calling, email, night shift, ...",Req Back Office Executive|data Entry Operators|computer Operators
34,ASTRUM ELECTRONICS INDIA PRIVATE LIMITED,2-7 yrs,https://www.naukri.com/job-listings-Data-Analyst-ASTRUM-ELECTRONICS-INDIA-PRIVATE-LIMITED-Mumbai-2-to-7-years-230619000020?src=jobsearchDesk&sid=15614536082908&xp=35&px=1,Mumbai,"research analyst, market research, market analysis, statistics...",Data Analyst
35,E2open Software India Private Limited,0-3 yrs,https://www.naukri.com/job-listings-WALK-IN-For-DATA-Analyst-E2open-Software-India-Private-Limited-Bengaluru-1st-Block-Jayanagar-0-to-3-years-240619004292?src=jobsearchDesk&sid=15614536082908&xp=36&px=1,Bengaluru(1st Block Jayanagar),"Excel, Data Analysis, Statistical Programming, Macros, Charts, Analytics...",WALK IN For DATA Analyst
36,LENSKART SOLUTIONS PRIVATE LIMITED,2-5 yrs,https://www.naukri.com/job-listings-Business-Analyst-Data-Analytics-Lenskart-LENSKART-SOLUTIONS-PRIVATE-LIMITED-Gurgaon-2-to-5-years-240619007599?src=jobsearchDesk&sid=15614536082908&xp=37&px=1,Gurgaon,"data modeling, data analysis, data analytics, big data analytics...",Business Analyst ( Data Analytics) || Lenskart
37,Happay-Expense Management Solution for Businesses,1-2 yrs,https://www.naukri.com/job-listings-Business-Operation-Analyst-Happay-Expense-Management-Solution-for-Businesses-Bengaluru-1-to-2-years-240619900801?src=jobsearchDesk&sid=15614536082908&xp=38&px=1,Bengaluru,"Analytics, Data Analytics, SAS, Statistics, Data Modeling, Business Objects...",Business Operation Analyst
38,Red Hat India Pvt Ltd,2-5 yrs,https://www.naukri.com/job-listings-Data-Information-Analyst-Red-Hat-India-Pvt-Ltd-Bengaluru-2-to-5-years-250619900272?src=jobsearchDesk&sid=15614536082908&xp=39&px=1,Bengaluru,"business intelligence, reporting tools, requirement gathering...",Data Information Analyst
39,Careernet Technologies Pvt Ltd,3-8 yrs,https://www.naukri.com/job-listings-Data-Analyst-Coding-Bangalore-Location-Careernet-Technologies-Pvt-Ltd-Bengaluru-3-to-8-years-190619000453?src=jobsearchDesk&sid=15614536082908&xp=40&px=1,Bengaluru,"statistical modeling, sas, r, data analysis, statistics...",Data Analyst - Coding - Bangalore Location
40,Emerson Electric Co (I) Pvt Ltd,5-10 yrs,https://www.naukri.com/job-listings-Marketing-Analyst-Emerson-Electric-Co-I-Pvt-Ltd-Chennai-5-to-10-years-300419000975?src=jobsearchDesk&sid=15614536082908&xp=41&px=1,Chennai,"Marketing Analysis, Sales Promotion, Business Development, Branding...",Marketing Analyst
41,Confidential,5-8 yrs,https://www.naukri.com/job-listings-Business-Analyst-Data-Management-Confidential-Hyderabad-5-to-8-years-200619901566?src=jobsearchDesk&sid=15614536082908&xp=42&px=1,Hyderabad,"Business Analyst, Data Modeling, Data Integration, Business Intelligence...",Business Analyst - Data Management
42,Huquo Consulting Pvt. Ltd,2-7 yrs,https://www.naukri.com/job-listings-Assistant-Manager-Manager-Business-Analyst-sas-Consulting-Firm-Huquo-Consulting-Pvt-Ltd-Bengaluru-Gurgaon-2-to-7-years-200619901780?src=jobsearchDesk&sid=15614536082908&xp=43&px=1,"Bengaluru, Gurgaon","SAS, Statistics, Consulting - BFSI, Statistical Modeling, SQL...",Assistant Manager/ Manager - Business Analyst/sas - Consulting Firm
43,Huquo Consulting Pvt. Ltd,2-6 yrs,https://www.naukri.com/job-listings-Senior-Business-Analyst-Assistant-Manager-Model-Validation-Huquo-Consulting-Pvt-Ltd-Gurgaon-2-to-6-years-200619901766?src=jobsearchDesk&sid=15614536082908&xp=44&px=1,Gurgaon,"Model Validation, SAS, Statistics, Predictive Modeling, Analytics...",Senior Business Analyst/ Assistant Manager - Model Validation
44,Technosoft Global Services Pvt Ltd,5-7 yrs,https://www.naukri.com/job-listings-Immediate-Requirement-for-Data-Analyst-pmo-at-Bangalore-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-5-to-7-years-290419000607?src=jobsearchDesk&sid=15614536082908&xp=45&px=1,Bengaluru,"advanced excel, vba, data analysis, dashboards, data collection...","Immediate Requirement for Data Analyst (pmo) at Bangalore,"
45,Huquo Consulting Pvt. Ltd,3-6 yrs,https://www.naukri.com/job-listings-Business-Analyst-Senior-Business-Analyst-Tableau-Banking-Huquo-Consulting-Pvt-Ltd-Delhi-NCR-3-to-6-years-200619901725?src=jobsearchDesk&sid=15614536082908&xp=46&px=1,Delhi NCR,"Tableau, SQL, Data Analytics, SAS, Analytics, Consulting - BFSI...",Business Analyst/ Senior Business Analyst - Tableau - Banking
46,American Express Services India Pvt. Ltd.,1-3 yrs,https://www.naukri.com/job-listings-Data-Analyst-SAS-SQL-Hive-and-Python-American-Express-Services-India-Pvt-Ltd-Gurgaon-1-to-3-years-140619000539?src=jobsearchDesk&sid=15614536082908&xp=47&px=1,Gurgaon,"advance sas, sql, python, hive, campaign management, data analysis...","Data Analyst - SAS, SQL, Hive and Python"
47,Inlead Electronics Pvt. Ltd. ((Formerly known as OPPO Mobiles MU Pvt. Ltd.),1-2 yrs,https://www.naukri.com/job-listings-Urgent-Opening-for-MIS-Coordinator-noida-Inlead-Electronics-Pvt-Ltd-Formerly-known-as-OPPO-Mobiles-MU-Pvt-Ltd-Noida-1-to-2-years-190619006857?src=jobsearchDesk&sid=15614536082908&xp=48&px=1,Noida,"formulas, lookup, vlookup, mis reporting, data analysis, key skills...",Urgent Opening for MIS Coordinator-noida
48,Huquo Consulting Pvt. Ltd,8-13 yrs,https://www.naukri.com/job-listings-Business-Analyst-Senior-Business-Analyst-Assistant-Manager-Huquo-Consulting-Pvt-Ltd-Delhi-NCR-Gurgaon-8-to-13-years-200619901666?src=jobsearchDesk&sid=15614536082908&xp=49&px=1,"Delhi NCR, Gurgaon","SAS, Analytics, Statistics, Consulting - BFSI, Data Mining",Business Analyst/ Senior Business Analyst/ Assistant Manager
49,Unique Technologies,0-5 yrs,https://www.naukri.com/job-listings-Content-Analyst-bpo-Non-voice-uk-Process-day-Shift-Unique-Technologies-Bengaluru-0-to-5-years-170619003841?src=jobsearchDesk&sid=15614536082908&xp=50&px=1,Bengaluru,"uk process, bpo non voice, data mining, data extraction, business research.","Content Analyst,bpo Non-voice,uk Process,day Shift"
50,Coalition India,0-5 yrs,https://www.naukri.com/job-listings-SEM-Analyst-Remote-Coalition-India-Delhi-NCR-Bengaluru-Chandigarh-0-to-5-years-110119000181?src=jobsearchDesk&sid=15614536099159&xp=1&px=2,"Delhi NCR, Bengaluru, Chandigarh","Wordpress, Jquery, css, analytics, market research, data analytics, SEO",SEM Analyst - Remote
51,Coalition India,0-5 yrs,https://www.naukri.com/job-listings-SEO-Analyst-Remote-Coalition-India-Delhi-NCR-Mumbai-Bengaluru-0-to-5-years-110119000180?src=jobsearchDesk&sid=15614536099159&xp=2&px=2,"Delhi NCR, Mumbai, Bengaluru","Wordpress, Jquery, css, analytics, market research, data analytics, SEO",SEO Analyst - Remote
52,Huquo Consulting Pvt. Ltd,2-6 yrs,https://www.naukri.com/job-listings-Senior-Business-Analyst-assistant-Manager-SQL-Analytics-Banking-Huquo-Consulting-Pvt-Ltd-Gurgaon-2-to-6-years-240619900067?src=jobsearchDesk&sid=15614536099159&xp=3&px=2,Gurgaon,"Analytics, SQL, Big Data, Business Intelligence, Tableau, Data Analytics...",Senior Business Analyst/assistant Manager - SQL Analytics - Banking
53,Huquo Consulting Pvt. Ltd,3-5 yrs,https://www.naukri.com/job-listings-Business-Analyst-Sas-reporting-Consulting-Firm-Huquo-Consulting-Pvt-Ltd-Bengaluru-3-to-5-years-240619903179?src=jobsearchDesk&sid=15614536099159&xp=4&px=2,Bengaluru,"SAS, Statistics, Analytics, Data Analytics, MIS, SQL",Business Analyst - Sas/reporting - Consulting Firm
54,Swar Yantra Technologies,5-8 yrs,https://www.naukri.com/job-listings-Business-Analyst-Project-Management-Swar-Yantra-Technologies-Chandigarh-5-to-8-years-240619903175?src=jobsearchDesk&sid=15614536099159&xp=5&px=2,Chandigarh,"Project Management, Data Management, Business Analyst, Applications Support...",Business Analyst - Project Management
55,Silverpeople,5-10 yrs,https://www.naukri.com/job-listings-SAP-Functional-Analyst-Materials-Management-MM-Silverpeople-Bengaluru-5-to-10-years-240619900049?src=jobsearchDesk&sid=15614536099159&xp=6&px=2,Bengaluru,"SAP SD, Sales & Distribution, Functional Analysis, Techno Functional...",SAP Functional Analyst-  Materials Management ( MM )
56,Cvent India Pvt. Ltd.,1-3 yrs,https://www.naukri.com/job-listings-Financial-Analyst-Cvent-India-Pvt-Ltd-Delhi-NCR-Delhi-Gurgaon-1-to-3-years-040619005753?src=jobsearchDesk&sid=15614536099159&xp=7&px=2,"Delhi NCR, Delhi, Gurgaon","cima, mba finance, financial reporting, financial analysis, consolidation...",Financial Analyst
